teamPerformanceID,seasonID,teamID,team,date,dateID,home,opponent,opponentTeamID,win,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,simpleRPI,margin,ptsScored,ptsAllowed,stealPercent,turnoverPercent,trueShootingPercent,foulRate,teamPerformanceID,seasonID,teamID,team,date,dateID,home,opponent,opponentTeamID,win,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,simpleRPI,margin,ptsScored,ptsAllowed,stealPercent,turnoverPercent,trueShootingPercent,foulRate
421,4,11,Penn St.,12/28/18,3236,1,Maryland ,6,0,79.2,100.8,-21.6,76.7,0.86,52.6,40.5,28,19.1,58.8,31.8,4.1,17,-16,61,77,0.065189,0.195567,0.433485,0.247718,1063,4,6,Maryland,12/28/18,3236,0,Penn St. ,11,1,100.8,79.2,21.6,76.7,1.08,66.7,46.9,45.5,41.2,80.9,53.6,8.1,125,16,77,61,0.065189,0.247718,0.545635,0.221643
679,4,13,Rutgers,12/31/18,3239,0,Maryland ,6,1,112.1,100.9,11.2,64.8,1.03,93.3,37.2,42.9,48.7,70.4,72,3.3,17,8,73,65,0.154321,0.185185,0.516997,0.277778,1064,4,6,Maryland,12/31/18,3239,1,Rutgers ,13,0,100.9,112.1,-11.2,64.8,1.13,72.7,46.7,41.2,29.6,51.3,61.9,18.6,31,-8,65,73,0.0771605,0.231481,0.573394,0.262346
546,4,10,Ohio St.,1/5/19,3244,0,Maryland ,6,0,95.6,103.7,-8.1,72.3,1.11,76.9,52.8,35,21.9,61.5,42.3,10,17,-6,69,75,0.0829875,0.2213,0.558976,0.276625,1065,4,6,Maryland,1/5/19,3244,1,Ohio St. ,10,1,103.7,95.6,8.1,72.3,1,80.8,42,30.8,38.5,78.1,64,8.3,89,6,75,69,0.0414938,0.152144,0.503761,0.2213
1343,4,8,Nebraska,1/8/19,3247,1,Maryland ,6,0,87.4,109.1,-21.7,73.5,0.91,70.6,39.1,33.3,34.1,70.6,56.5,20,17,-18,63,81,0.136054,0.217687,0.459988,0.163265,1066,4,6,Maryland,1/8/19,3247,0,Nebraska ,8,1,109.1,87.4,21.7,73.2,1.2,63.6,48.9,58.8,29.4,65.9,46.9,10.9,81,18,81,63,0.136612,0.204918,0.605925,0.204918
1206,4,1,Michigan,1/12/19,3251,0,Maryland ,6,0,92.3,109,-16.7,75.4,0.83,50,39.4,33.3,34.6,78.1,53.3,9.8,17,-14,69,83,0.0928382,0.119363,0.418689,0.198939,1067,4,6,Maryland,1/12/19,3251,1,Michigan ,1,1,109,92.3,16.7,75.4,1.22,66.7,56.1,45,21.9,65.4,65.6,10.6,46,14,83,69,0.0928382,0.185676,0.613905,0.185676
1595,4,2,Michigan St.,1/17/19,3256,1,Maryland ,6,1,117.6,92.5,25.2,65.5,1.18,77.3,53.8,37.5,37.5,71.4,70.4,10.3,17,17,77,60,0.0916031,0.167939,0.595238,0.351145,1068,4,6,Maryland,1/17/19,3256,0,Michigan St. ,2,0,92.5,117.6,-25.2,65.2,0.95,64,48.7,16.7,28.6,62.5,66.7,2.6,38,-17,60,77,0.0613497,0.168712,0.483871,0.306748
427,4,11,Penn St.,1/20/19,3259,0,Maryland ,6,0,90,103.3,-13.3,75.9,0.9,68.2,37.8,31.6,21.7,87.5,39.1,2.3,17,-12,67,79,0.0395257,0.131752,0.454669,0.263505,1069,4,6,Maryland,1/20/19,3259,1,Penn St. ,11,1,103.3,90,13.3,75.5,1.15,75,53.5,37.5,12.5,78.3,48.3,6.7,125,12,79,67,0.0529801,0.145695,0.582596,0.278146
551,4,10,Ohio St.,1/24/19,3263,1,Maryland ,6,0,81.2,96,-14.8,71.5,0.87,76.9,38.1,29.4,35.9,63,42.9,2.9,17,-13,57,70,0.153846,0.237762,0.440358,0.251748,1070,4,6,Maryland,1/24/19,3263,0,Ohio St. ,10,1,96,81.2,14.8,71.5,1.17,60.9,54.3,42.9,37,64.1,60,7.1,89,13,70,57,0.111888,0.307692,0.592016,0.251748
292,4,4,Indiana,1/27/19,3266,1,Maryland ,6,0,74.1,96.8,-22.6,77,0.87,55.6,42.5,25,24.3,65,47.6,8.6,17,-20,56,76,0.103896,0.246753,0.438048,0.168831,1071,4,6,Maryland,1/27/19,3266,0,Indiana ,4,1,96.8,74.1,22.6,77,0.96,61.1,48.3,23.1,35,75.7,48.4,12.5,39,20,76,56,0.168831,0.155844,0.4815,0.233766
1733,4,14,Wisconsin,1/31/19,3270,0,Maryland ,6,0,76.8,105.4,-28.6,72.7,0.84,72.7,38.5,27.3,24.4,65.6,69.6,6.4,17,-18,57,75,0.110041,0.220083,0.420106,0.165062,1072,4,6,Maryland,1/31/19,3270,1,Wisconsin ,14,1,105.4,76.8,28.6,73.1,1.15,76.9,46.8,58.3,34.4,75.6,48.3,11.5,163,18,75,57,0.109439,0.205198,0.581952,0.164159
817,4,3,Illinois,2/4/19,3274,1,Maryland ,6,0,94,118.6,-24.6,68.8,0.97,63.6,41,37.5,29.3,57.1,64,7.3,17,-14,66,80,0.0436046,0.174419,0.486439,0.232558,1073,4,6,Maryland,2/4/19,3274,0,Illinois ,3,1,118.6,94,24.6,68.8,1.09,77.3,51.2,31.8,42.9,70.7,64.3,15.4,192,14,80,66,0.0436046,0.130814,0.550358,0.159884
1353,4,8,Nebraska,2/14/19,3284,0,Maryland ,6,0,88.1,116,-27.9,74.1,0.96,60,37.5,43.8,34.2,64.4,68.2,12.7,17,-26,63,89,0.0539811,0.202429,0.486111,0.22942,1076,4,6,Maryland,2/14/19,3284,1,Nebraska ,8,1,116,88.1,27.9,74.1,1.05,74.2,43.6,40,35.6,65.8,43.3,17.5,81,26,89,63,0.121457,0.107962,0.526379,0.22942
26,4,5,Iowa,2/17/19,3287,1,Maryland ,6,1,116.6,97.6,19,74.3,1.17,93.1,53.2,23.1,40.6,60.9,64.3,9.6,17,13,86,73,0.0672947,0.161507,0.590984,0.134589,1077,4,6,Maryland,2/17/19,3287,0,Iowa ,5,0,97.6,116.6,-19,74.7,0.93,50,46.2,30.4,39.1,59.4,41.9,6.4,9,-13,73,86,0.0669344,0.187416,0.46485,0.334672
1477,4,7,Minnesota,2/21/19,3291,0,Maryland ,6,0,100.7,100.4,0.2,69.6,1.05,61.1,51.3,33.3,39.5,65.9,42.3,2,17,-2,69,71,0.143678,0.215517,0.531423,0.201149,1078,4,6,Maryland,2/21/19,3291,1,Minnesota ,7,1,100.4,100.7,-0.2,69.6,0.98,75,43.1,37.5,34.1,60.5,42.9,7.7,85,2,71,69,0.100575,0.172414,0.491146,0.258621
165,4,12,Purdue,2/25/19,3295,1,Maryland ,6,0,78.2,84.6,-6.4,69.8,0.83,71.4,37.2,30,25.6,62.2,68.2,8.7,17,-3,55,58,0.143266,0.186246,0.416162,0.272206,1079,4,6,Maryland,2/25/19,3295,0,Purdue ,12,1,84.6,78.2,6.4,69.4,0.88,66.7,43.5,18.2,37.8,74.4,59.1,25.6,74,3,58,55,0.115274,0.244957,0.446704,0.201729
824,4,3,Illinois,3/2/19,3300,0,Maryland ,6,0,90.9,105.9,-15,68,0.92,63.6,34.1,42.9,28.6,60.5,65.2,9.1,17,-9,62,71,0.117647,0.191176,0.463794,0.235294,1080,4,6,Maryland,3/2/19,3300,1,Illinois ,3,1,105.9,90.9,15,67.7,1.03,88.2,36.4,47.1,39.5,71.4,66.7,9.8,192,9,71,62,0.0886263,0.192024,0.5184,0.206795
1609,4,2,Michigan St.,3/8/19,3306,0,Maryland ,6,0,78.1,102.2,-24.2,70.3,0.76,68.2,31.8,22.2,29.2,62.1,55.6,5.1,17,-16,55,71,0.128023,0.170697,0.38365,0.241821,1081,4,6,Maryland,3/8/19,3306,0,Michigan St. ,2,1,102.2,78.1,24.2,70,1.17,63.6,53.8,45.5,37.9,70.8,76.9,13.6,38,16,71,55,0.114286,0.271429,0.594839,0.242857
1221,4,1,Michigan,3/9/19,3307,0,Maryland ,6,0,113.2,111.3,1.9,64.9,1.08,87.5,34.1,55.6,44.4,53.3,79.2,10.5,17,-1,72,73,0.169492,0.1849,0.545124,0.246533,1082,4,6,Maryland,3/9/19,3307,0,Michigan ,1,1,111.3,113.2,-1.9,64.9,1.13,68.8,57.9,31.6,46.7,55.6,64.3,31.7,46,1,73,72,0.0924499,0.231125,0.569956,0.246533
32,4,5,Iowa,3/10/19,3308,0,Maryland ,6,1,115,94.9,20.1,79.2,1.25,83.3,54.3,41.7,28.1,69.2,70,5.5,17,14,90,76,0.126263,0.189394,0.632023,0.20202,1083,4,6,Maryland,3/10/19,3308,0,Iowa ,5,0,94.9,115,-20.1,79.2,1,76.5,49.1,23.1,30.8,71.9,60,4.3,9,-14,76,90,0.126263,0.176768,0.496689,0.265152
840,3,3,Illinois,12/28/17,2871,0,Maryland ,6,0,85.2,131.2,-46,76.2,0.86,88.9,35.3,35,33.3,44.2,48,12.2,18,-35,65,100,0.0524934,0.209974,0.433565,0.301837,1099,3,6,Maryland,12/28/17,2871,1,Illinois ,3,1,131.2,85.2,46,76.2,1.13,62.5,51,41.7,55.8,66.7,60,11.8,216,35,100,65,0.131234,0.15748,0.574185,0.19685
52,3,5,Iowa,1/4/18,2878,0,Maryland ,6,0,81.3,103.8,-22.5,77.9,0.93,75,43.6,29.2,31.7,64.7,70.8,15.4,18,-16,64,80,0.0256739,0.29525,0.468658,0.179718,1101,3,6,Maryland,1/4/18,2878,1,Iowa ,5,1,103.8,81.3,22.5,77.9,0.91,58.8,38.5,35.7,35.3,68.3,56.7,12.8,22,16,80,64,0.192555,0.0898588,0.457247,0.192555
1761,3,14,Wisconsin,1/7/18,2881,1,Maryland ,6,0,66.9,109.7,-42.9,65.2,0.75,87.5,37.8,16.7,18.4,62.1,52.9,11.1,18,-27,44,71,0.0460123,0.214724,0.389243,0.122699,1102,3,6,Maryland,1/7/18,2881,0,Wisconsin ,14,1,109.7,66.9,42.9,65.2,1.13,83.3,47.2,42.9,37.9,81.6,42.3,10.8,187,27,71,44,0.122699,0.199387,0.570006,0.184049
1629,3,2,Michigan St.,1/11/18,2885,0,Maryland ,6,1,105.7,84.9,20.7,78.8,1.1,81.2,46.7,40.9,31.6,59.1,73.3,12.2,18,14,82,68,0.126904,0.177665,0.553755,0.190355,1103,3,6,Maryland,1/11/18,2885,1,Michigan St. ,2,0,84.9,105.7,-20.7,78.8,0.92,64.7,42.9,29.4,40.9,68.4,57.7,2.2,58,-14,68,82,0.114213,0.304569,0.462711,0.228426
325,3,4,Indiana,1/16/18,2890,0,Maryland ,6,0,101,109.4,-8.3,68.5,1.11,66.7,41.2,48,29.4,78.1,65.4,2.1,18,-4,70,74,0.0437956,0.233577,0.555909,0.189781,1104,3,6,Maryland,1/16/18,2890,1,Indiana ,4,1,109.4,101,8.3,68.5,1.13,71.4,47.9,54.5,21.9,70.6,41.4,5.9,29,4,74,70,0.116788,0.131387,0.567833,0.248175
723,3,13,Rutgers,2/1/18,2906,0,Maryland ,6,0,86,125.8,-39.8,69.9,0.82,62.5,34.7,35,29.2,50,54.2,8.9,18,-28,60,88,0.114449,0.157368,0.413679,0.300429,1107,3,6,Maryland,2/1/18,2906,1,Rutgers ,13,1,125.8,86,39.8,69.9,1.38,81,55.6,77.8,50,70.8,78.1,14.3,34,28,88,60,0.0572246,0.228898,0.695762,0.18598
1636,3,2,Michigan St.,2/8/18,2913,1,Maryland ,6,0,92.3,103.5,-11.2,73.5,0.95,78.6,40,35,42.9,62.9,44,4.3,18,-8,68,76,0.108844,0.272109,0.477797,0.258503,1109,3,6,Maryland,2/8/18,2913,0,Michigan St. ,2,1,103.5,92.3,11.2,73.5,1.08,83.3,40.4,50,37.1,57.1,56,4.4,58,8,76,68,0.176871,0.204082,0.546291,0.176871
726,3,13,Rutgers,2/11/18,2916,1,Maryland ,6,0,80.4,108.4,-28,66.8,0.88,86.7,45.2,8.3,47.1,62.5,45,12.8,18,-18,54,72,0.149701,0.314371,0.445545,0.254491,1110,3,6,Maryland,2/11/18,2916,0,Rutgers ,13,1,108.4,80.4,28,66.8,1.07,75,44.7,44.4,37.5,52.9,52,9.5,34,18,72,54,0.194611,0.164671,0.540865,0.224551
196,3,12,Purdue,2/15/18,2920,0,Maryland ,6,1,109.3,94.5,14.8,68.7,1.2,87.5,54.8,38.5,22.2,67.4,67.9,7.4,18,10,75,65,0.0291121,0.14556,0.604449,0.160116,1111,3,6,Maryland,2/15/18,2920,1,Purdue ,12,0,94.5,109.3,-14.8,68.7,0.89,70,42.6,28.6,32.6,77.8,55.6,4.8,48,-10,65,75,0.0873362,0.14556,0.448895,0.218341
1509,3,7,Minnesota,2/18/18,2923,1,Maryland ,6,1,124.8,97.1,27.8,75.4,1.32,75,48.6,58.3,27.3,63.6,62.5,7.3,18,19,93,74,0.0928382,0.172414,0.666189,0.185676,1112,3,6,Maryland,2/18/18,2923,0,Minnesota ,7,0,97.1,124.8,-27.8,75.4,0.95,81.8,45.5,27.8,36.4,72.7,76.7,2.7,39,-19,74,93,0.132626,0.185676,0.475334,0.212202
1252,3,1,Michigan,2/22/18,2927,1,Maryland ,6,1,105.1,96.9,8.2,67.3,1.17,83.3,45.2,60,41.7,61.1,64,3.8,18,6,71,65,0.0742942,0.237741,0.592457,0.208024,1113,3,6,Maryland,2/22/18,2927,0,Michigan ,1,0,96.9,105.1,-8.2,67.3,0.94,64.7,51.9,0,38.9,58.3,37,4.8,30,-6,65,71,0.163447,0.178306,0.474591,0.237741
336,3,4,Indiana,3/2/18,2935,0,Maryland ,6,0,83.6,107.3,-23.7,63.5,0.92,68.8,45.9,21.4,23.5,58.1,45,9.1,18,-13,54,67,0.0314961,0.204724,0.465196,0.330709,1115,3,6,Maryland,3/2/18,2935,0,Indiana ,4,1,107.3,83.6,23.7,63.5,1.06,77.3,50,22.2,41.9,76.5,54.2,13.5,29,13,67,54,0.110236,0.173228,0.534461,0.23622
1530,2,7,Minnesota,1/1/17,2510,1,Maryland ,6,0,92,105.4,-13.4,78.5,1.04,72.7,45.5,40,32.4,60.5,57.1,10.2,15,-11,72,83,0.0764331,0.254777,0.522952,0.165605,1133,2,6,Maryland,1/1/17,2510,0,Minnesota ,7,1,105.4,92,13.4,78.5,1.02,50,50.8,33.3,39.5,67.6,75,13.6,55,11,83,72,0.178344,0.165605,0.509828,0.140127
1405,2,8,Nebraska,1/4/17,2513,1,Maryland ,6,0,66.5,124.8,-58.3,74.1,0.71,41.7,36.4,21.1,26.7,48.7,50,3.6,15,-44,49,93,0.0674764,0.22942,0.358817,0.242915,1134,2,6,Maryland,1/4/17,2513,0,Nebraska ,8,1,124.8,66.5,58.3,74.1,1.14,65,55.4,37.5,51.3,73.3,64.9,13.6,157,44,93,49,0.175439,0.175439,0.575495,0.22942
1002,2,9,Northwestern,1/7/17,2516,0,Maryland ,6,0,82.3,121.7,-39.4,78.9,0.94,76.2,47.9,9.1,21.1,56.4,33.3,10.9,15,-31,65,96,0.0887199,0.228137,0.47626,0.240811,1135,2,6,Maryland,1/7/17,2516,1,Northwestern ,9,1,121.7,82.3,39.4,78.9,1.17,72,52.2,41.7,43.6,78.9,41.2,4.2,64,31,96,65,0.152091,0.17744,0.592593,0.228137
86,2,5,Iowa,1/14/17,2523,1,Maryland ,6,0,107.9,129.2,-21.3,76,1.17,84.2,51.2,40,29.4,50,58.6,8.9,15,-16,82,98,0.0526316,0.197368,0.591119,0.236842,1137,2,6,Maryland,1/14/17,2523,0,Iowa ,5,1,129.2,107.9,21.3,76,1.17,68,53.6,43.8,50,70.6,54.1,4.9,45,16,98,82,0.0921053,0.157895,0.590361,0.25
752,2,13,Rutgers,1/22/17,2531,0,Maryland ,6,0,96.3,113.6,-17.4,72.1,1.02,60,43.1,50,31.6,50,51.7,5.4,15,-9,71,80,0.152566,0.208044,0.511527,0.305132,1139,2,6,Maryland,1/22/17,2531,1,Rutgers ,13,1,113.6,96.3,17.4,72.1,1.19,62.5,59.5,36.8,50,68.4,62.1,11.8,198,9,80,71,0.0970874,0.235784,0.600962,0.180305
877,2,3,Illinois,1/26/17,2535,1,Maryland ,6,0,61.8,115.2,-53.4,80.5,0.67,88.9,36.5,5.9,20.4,52.2,15,9.4,15,-45,49,94,0.0869565,0.198758,0.3358,0.285714,1140,2,6,Maryland,1/26/17,2535,0,Illinois ,3,1,115.2,61.8,53.4,80.5,1.03,65.7,47.2,31.8,47.8,79.6,68.8,17.3,179,45,94,49,0.124224,0.149068,0.519912,0.161491
89,2,5,Iowa,1/29/17,2538,0,Maryland ,6,0,103.2,124.9,-21.6,79.3,1.1,63.6,50,39.1,26.3,55.6,58.6,0,15,-19,81,100,0.126103,0.189155,0.557237,0.214376,1141,2,6,Maryland,1/29/17,2538,1,Iowa ,5,1,124.9,103.2,21.6,79.3,1.37,82.4,66,44.4,44.4,73.7,66.7,10,45,19,100,81,0.113493,0.239596,0.689846,0.252207
226,2,12,Purdue,2/2/17,2542,1,Maryland ,6,0,98.6,117.4,-18.8,71.7,0.95,68.4,46.2,23.1,46.3,45.2,66.7,13,15,-15,70,85,0.097629,0.223152,0.477099,0.27894,1142,2,6,Maryland,2/2/17,2542,0,Purdue ,12,1,117.4,98.6,18.8,71.7,1.04,70.8,46.3,37.5,54.8,53.7,51.6,3.8,43,15,85,70,0.13947,0.181311,0.527557,0.292887
365,2,4,Indiana,2/5/17,2545,1,Maryland ,6,0,76,122.6,-46.6,74.3,0.74,64.3,35.8,18.8,26,65.5,68.2,2.1,15,-36,56,92,0.0807537,0.148048,0.372539,0.228802,1143,2,6,Maryland,2/5/17,2545,0,Indiana ,4,1,122.6,76,46.6,74.3,1.3,68.4,60.4,50,34.5,74,55.6,20.8,49,36,92,56,0.0942127,0.188425,0.653781,0.242261
881,2,3,Illinois,2/9/17,2549,0,Maryland ,6,0,77.3,111,-33.8,76,0.88,80,26.2,47.8,20.9,53.7,63.6,8.9,15,-25,59,84,0.0789474,0.223684,0.438988,0.223684,1144,2,6,Maryland,2/9/17,2549,1,Illinois ,3,1,111,77.3,33.8,76,1.1,85.7,46.7,40,46.3,79.1,80.6,4.8,179,25,84,59,0.131579,0.236842,0.551471,0.184211
1669,2,2,Michigan St.,2/12/17,2552,1,Maryland ,6,0,94.6,113.7,-19.2,77.2,1,40,52.5,32,28.2,60.7,75.9,4.3,15,-17,72,89,0.0388601,0.181347,0.502793,0.297927,1145,2,6,Maryland,2/12/17,2552,0,Michigan St. ,2,1,113.7,94.6,19.2,77.2,1.25,73.3,56.5,45.5,39.3,71.8,54.8,5,48,17,89,72,0.103627,0.233161,0.633903,0.246114
1544,2,7,Minnesota,2/26/17,2566,0,Maryland ,6,0,75.6,117.9,-42.3,79.1,0.8,79.2,30.8,25,31.9,51.7,31.6,4.7,15,-33,60,93,0.126422,0.240202,0.402361,0.214918,1148,2,6,Maryland,2/26/17,2566,1,Minnesota ,7,1,117.9,75.6,42.3,79.1,1.29,76,58.1,47.1,48.3,68.1,72.7,19.2,55,33,93,60,0.11378,0.265487,0.65493,0.202276
1546,2,7,Minnesota,3/3/17,2571,0,Maryland ,6,0,107.9,125.8,-17.9,73.6,1.08,80,44,47.1,48.7,53.1,40,10.9,15,-12,80,92,0.0951087,0.217391,0.543478,0.203804,1149,2,6,Maryland,3/3/17,2571,0,Minnesota ,7,1,125.8,107.9,17.9,73.6,1.24,73.3,52.2,52.4,46.9,51.3,65.7,10,55,12,92,80,0.122283,0.190217,0.625,0.190217
1676,2,2,Michigan St.,3/4/17,2572,0,Maryland ,6,0,122.3,136.3,-14,73,1.29,90,62.9,41.4,32.3,56.7,67.6,12.5,15,-11,89,100,0.0821918,0.191781,0.650585,0.273973,1150,2,6,Maryland,3/4/17,2572,0,Michigan St. ,2,1,136.3,122.3,14,73,1.34,69.2,60.4,57.1,43.3,67.7,51.4,2.9,48,11,100,89,0.123288,0.164384,0.680828,0.150685
237,2,12,Purdue,3/5/17,2573,0,Maryland ,6,0,88.1,101.8,-13.7,72.7,0.96,92.9,42.9,27.8,31.6,71.4,56.5,5.3,15,-10,64,74,0.137552,0.233838,0.483676,0.165062,1151,2,6,Maryland,3/5/17,2573,0,Purdue ,12,1,101.8,88.1,13.7,72.7,1.2,83.3,60.5,33.3,28.6,68.4,62.1,14.3,43,10,74,64,0.123796,0.261348,0.603786,0.178817
899,1,3,Illinois,12/31/15,2143,1,Maryland ,6,0,83.9,101.7,-17.8,76.4,0.91,66.7,40,31.8,14.6,50,34.8,7.5,9,-16,63,79,0.039267,0.157068,0.459184,0.183246,1167,1,6,Maryland,12/31/15,2143,0,Illinois ,3,1,101.7,83.9,17.8,76.4,0.98,66.7,47.2,31.8,50,85.4,56.2,20,151,16,79,63,0.091623,0.222513,0.492028,0.274869
1433,1,8,Nebraska,1/7/16,2150,0,Maryland ,6,0,67.9,119.9,-52,73.9,0.83,87.5,27.9,40,15.4,55.3,56.2,5,9,-39,50,89,0.0405954,0.257104,0.416389,0.162382,1169,1,6,Maryland,1/7/16,2150,1,Nebraska ,8,1,119.9,67.9,52,73.9,1.12,45.5,55,42.9,44.7,84.6,64.1,11.6,88,39,89,50,0.121786,0.14885,0.564434,0.175913
118,1,5,Iowa,1/10/16,2153,1,Maryland ,6,0,78.9,105.4,-26.5,71.5,0.86,57.1,43.2,18.2,26.3,75.7,38.1,2.1,9,-20,56,76,0.0699301,0.20979,0.435865,0.237762,1170,1,6,Maryland,1/10/16,2153,0,Iowa ,5,1,105.4,78.9,26.5,71.5,1.08,58.8,44.7,53.3,24.3,73.7,55.2,13.6,55,20,76,56,0.125874,0.153846,0.54692,0.321678
1309,1,1,Michigan,1/14/16,2157,1,Maryland ,6,0,98.1,105.7,-7.6,69.2,1.08,85.7,57.1,29.2,31.2,46.2,55.6,13.7,9,-7,67,74,0.0867052,0.231214,0.539626,0.245665,1171,1,6,Maryland,1/14/16,2157,0,Michigan ,1,1,105.7,98.1,7.6,69.2,0.99,78.9,43.1,33.3,53.8,68.8,70.4,8.6,47,7,74,67,0.115607,0.231214,0.497579,0.187861
1822,1,14,Wisconsin,1/20/16,2163,1,Maryland ,6,0,100.4,134.6,-34.2,65.8,0.92,70,44.2,28.6,41,46.9,48.1,3.8,9,-25,65,90,0.0607903,0.136778,0.475146,0.121581,1173,1,6,Maryland,1/20/16,2163,0,Wisconsin ,14,1,134.6,100.4,34.2,65.8,1.25,66.7,53.8,58.8,53.1,59,60.5,11.5,177,25,90,65,0.106383,0.182371,0.628141,0.182371
398,1,4,Indiana,1/30/16,2173,0,Maryland ,6,0,87.5,116.1,-28.6,73,0.83,71.4,42,12.5,34,57.6,39.1,3.8,9,-23,63,86,0.0958904,0.164384,0.4243,0.178082,1175,1,6,Maryland,1/30/16,2173,1,Indiana ,4,1,116.1,87.5,28.6,73,1.19,70.6,53.8,50,42.4,66,52.9,8,49,23,86,63,0.109589,0.219178,0.601567,0.246575
261,1,12,Purdue,2/2/16,2176,1,Maryland ,6,0,95.5,122.3,-26.8,70.6,1.01,66.7,41.9,43.8,38.2,63.2,68,0,9,-20,67,87,0.113314,0.240793,0.510671,0.184136,1176,1,6,Maryland,2/2/16,2176,0,Purdue ,12,1,122.3,95.5,26.8,70.6,1.4,73.3,76.2,30.8,36.8,61.8,55.6,7,65,20,87,67,0.141643,0.226629,0.706169,0.169972
263,1,12,Purdue,2/11/16,2185,0,Maryland ,6,0,78.3,97.4,-19,75.2,0.84,57.1,33.3,43.8,31,57.9,37.5,2.3,9,-14,59,73,0.172872,0.239362,0.420947,0.305851,1179,1,6,Maryland,2/11/16,2185,1,Purdue ,12,1,97.4,78.3,19,75.2,1.03,85.7,38.6,41.2,42.1,69,62.5,19.6,65,14,73,59,0.0797872,0.265957,0.519647,0.159574
1319,1,1,Michigan,2/17/16,2191,0,Maryland ,6,0,82.5,109.9,-27.5,68.5,0.95,50,47.4,31.6,17.6,60,45.8,11.1,9,-20,56,76,0.131387,0.20438,0.476515,0.277372,1181,1,6,Maryland,2/17/16,2191,1,Michigan ,1,1,109.9,82.5,27.5,68.5,1.15,86.7,53.3,35.7,40,82.4,44.8,18.4,47,20,76,56,0.0875912,0.218978,0.579268,0.145985
789,1,13,Rutgers,2/21/16,2195,1,Maryland ,6,0,97.3,119.2,-22,60.9,1.01,64.3,45.2,40,19.4,55.6,69.6,8,9,-14,59,73,0.0328407,0.131363,0.507221,0.295566,1182,1,6,Maryland,2/21/16,2195,0,Rutgers ,13,1,119.2,97.3,22,60.9,1.05,72.7,50,35.7,44.4,80.6,53.3,4.8,53,14,73,59,0.0821018,0.131363,0.530215,0.213465
1832,1,14,Wisconsin,2/25/16,2199,0,Maryland ,6,0,111.8,122.7,-10.9,68.3,1.15,100,50,53.8,34.4,51.4,42.4,4.3,9,-6,77,83,0.0585652,0.161054,0.576693,0.219619,1183,1,6,Maryland,2/25/16,2199,1,Wisconsin ,14,1,122.7,111.8,10.9,68.3,1.14,71.4,43.5,55,48.6,65.6,80.6,3.8,177,6,83,77,0.0732064,0.190337,0.575111,0.161054
1575,1,7,Minnesota,2/28/16,2202,0,Maryland ,6,0,89.8,126.9,-37,86.2,1.02,83.3,42.4,35.1,11.6,54.5,48.1,3.3,9,-33,77,110,0.0696056,0.174014,0.511424,0.139211,1184,1,6,Maryland,2/28/16,2202,1,Minnesota ,7,1,126.9,89.8,37,86.2,1.28,100,66.7,30,45.5,88.4,67.4,3,73,33,110,77,0.0812065,0.185615,0.644934,0.139211
134,1,5,Iowa,3/4/16,2207,0,Maryland ,6,0,82.3,110.1,-27.8,67.5,1.06,87.5,38.5,66.7,25,46.2,57.1,8.3,9,-20,55,75,0.133333,0.311111,0.533773,0.237037,1185,1,6,Maryland,3/4/16,2207,0,Iowa ,5,1,110.1,82.3,27.8,67.5,1.01,60,50,28.6,53.8,75,62.5,15.4,55,20,75,55,0.251852,0.222222,0.509511,0.192593
1050,1,9,Northwestern,3/5/16,2208,0,Maryland ,6,0,95.1,123,-27.9,66.4,0.82,81.8,38,25,35.4,56.7,45.8,5.1,9,-21,62,83,0.120482,0.0903614,0.414217,0.301205,1186,1,6,Maryland,3/5/16,2208,0,Northwestern ,9,1,123,95.1,27.9,66.4,1.21,80,66.7,25,43.3,64.6,67.7,2,91,21,83,62,0.060241,0.180723,0.612094,0.180723