"win","pace","ftPercent","2PtPercent","3PtPercent","offRebPercent","defRebPercent","assistPercent","blockPercent","ftPercent","2PtPercent","3PtPercent","assistPercent","blockPercent"
0,76.7,52.6,40.5,28,19.1,58.8,31.8,4.1,66.7,46.9,45.5,53.6,8.1
1,64.8,93.3,37.2,42.9,48.7,70.4,72,3.3,72.7,46.7,41.2,61.9,18.6
0,72.3,76.9,52.8,35,21.9,61.5,42.3,10,80.8,42,30.8,64,8.3
0,73.5,70.6,39.1,33.3,34.1,70.6,56.5,20,63.6,48.9,58.8,46.9,10.9
0,75.4,50,39.4,33.3,34.6,78.1,53.3,9.8,66.7,56.1,45,65.6,10.6
1,65.5,77.3,53.8,37.5,37.5,71.4,70.4,10.3,64,48.7,16.7,66.7,2.6
0,75.9,68.2,37.8,31.6,21.7,87.5,39.1,2.3,75,53.5,37.5,48.3,6.7
0,71.5,76.9,38.1,29.4,35.9,63,42.9,2.9,60.9,54.3,42.9,60,7.1
0,77,55.6,42.5,25,24.3,65,47.6,8.6,61.1,48.3,23.1,48.4,12.5
0,72.7,72.7,38.5,27.3,24.4,65.6,69.6,6.4,76.9,46.8,58.3,48.3,11.5
0,68.8,63.6,41,37.5,29.3,57.1,64,7.3,77.3,51.2,31.8,64.3,15.4
0,63.4,64.7,37,33.3,25.6,55.2,47.6,2.5,60,52.5,50,72.4,2.2
0,108,66.7,43.2,12.5,24.3,68.2,50,10,70.6,63.3,30.8,65.2,8.1
0,74.1,60,37.5,43.8,34.2,64.4,68.2,12.7,74.2,43.6,40,43.3,17.5
1,74.3,93.1,53.2,23.1,40.6,60.9,64.3,9.6,50,46.2,30.4,41.9,6.4
0,69.6,61.1,51.3,33.3,39.5,65.9,42.3,2,75,43.1,37.5,42.9,7.7
0,69.8,71.4,37.2,30,25.6,62.2,68.2,8.7,66.7,43.5,18.2,59.1,25.6
0,68,63.6,34.1,42.9,28.6,60.5,65.2,9.1,88.2,36.4,47.1,66.7,9.8
0,70.3,68.2,31.8,22.2,29.2,62.1,55.6,5.1,63.6,53.8,45.5,76.9,13.6
0,64.9,87.5,34.1,55.6,44.4,53.3,79.2,10.5,68.8,57.9,31.6,64.3,31.7
1,79.2,83.3,54.3,41.7,28.1,69.2,70,5.5,76.5,49.1,23.1,60,4.3
0,76.2,88.9,35.3,35,33.3,44.2,48,12.2,62.5,51,41.7,60,11.8
0,74.3,64.3,38.8,42.9,26.8,57.4,52,7.4,73.7,31.5,46.7,62.5,18.4
0,77.9,75,43.6,29.2,31.7,64.7,70.8,15.4,58.8,38.5,35.7,56.7,12.8
0,65.2,87.5,37.8,16.7,18.4,62.1,52.9,11.1,83.3,47.2,42.9,42.3,10.8
1,78.8,81.2,46.7,40.9,31.6,59.1,73.3,12.2,64.7,42.9,29.4,57.7,2.2
0,68.5,66.7,41.2,48,29.4,78.1,65.4,2.1,71.4,47.9,54.5,41.4,5.9
0,71,83.3,44.2,27.3,33.3,50,55.2,11.3,66.7,52.8,61.1,61.5,5.8
0,72.7,66.7,53.2,25,37,75,57.7,6.5,64,50,25,68,6.4
0,69.9,62.5,34.7,35,29.2,50,54.2,8.9,81,55.6,77.8,78.1,14.3
0,66.8,57.1,35.9,35,22.5,52.6,61.9,6.5,60.9,41.3,33.3,56.5,12.8
0,73.5,78.6,40,35,42.9,62.9,44,4.3,83.3,40.4,50,56,4.4
0,66.8,86.7,45.2,8.3,47.1,62.5,45,12.8,75,44.7,44.4,52,9.5
1,68.7,87.5,54.8,38.5,22.2,67.4,67.9,7.4,70,42.6,28.6,55.6,4.8
1,75.4,75,48.6,58.3,27.3,63.6,62.5,7.3,81.8,45.5,27.8,76.7,2.7
1,67.3,83.3,45.2,60,41.7,61.1,64,3.8,64.7,51.9,0,37,4.8
0,69.4,75,47.4,37.9,23.7,57.1,58.6,2.1,65.2,40.4,47.1,37,7.9
0,63.5,68.8,45.9,21.4,23.5,58.1,45,9.1,77.3,50,22.2,54.2,13.5
0,64.7,68.4,25.8,40,20.5,74.2,75,8.9,79.2,48.9,14.3,56.5,12.9
1,69.1,70,43.1,35,47.7,52.3,37.9,8.8,50,42.1,33.3,58.6,11.8
0,78.5,72.7,45.5,40,32.4,60.5,57.1,10.2,50,50.8,33.3,75,13.6
0,74.1,41.7,36.4,21.1,26.7,48.7,50,3.6,65,55.4,37.5,64.9,13.6
0,78.9,76.2,47.9,9.1,21.1,56.4,33.3,10.9,72,52.2,41.7,41.2,4.2
0,80,53.8,45.6,44.4,31.8,50,35.3,0,66.7,62,27.3,58.8,10.5
0,76,84.2,51.2,40,29.4,50,58.6,8.9,68,53.6,43.8,54.1,4.9
0,72.7,100,44.7,40.9,29.4,54.8,65.4,3.7,47.1,55.6,29.4,54.3,26.3
0,72.1,60,43.1,50,31.6,50,51.7,5.4,62.5,59.5,36.8,62.1,11.8
0,80.5,88.9,36.5,5.9,20.4,52.2,15,9.4,65.7,47.2,31.8,68.8,17.3
0,79.3,63.6,50,39.1,26.3,55.6,58.6,0,82.4,66,44.4,66.7,10
0,71.7,68.4,46.2,23.1,46.3,45.2,66.7,13,70.8,46.3,37.5,51.6,3.8
0,74.3,64.3,35.8,18.8,26,65.5,68.2,2.1,68.4,60.4,50,55.6,20.8
0,76,80,26.2,47.8,20.9,53.7,63.6,8.9,85.7,46.7,40,80.6,4.8
0,77.2,40,52.5,32,28.2,60.7,75.9,4.3,73.3,56.5,45.5,54.8,5
0,70.9,50,35,21.4,13.5,57.6,52.9,10.4,80,56.2,35.7,40.6,7.5
1,79.5,64,66.7,55.6,15.4,58.3,36.1,6.1,73.3,46.9,33.3,45.5,7.7
0,79.1,79.2,30.8,25,31.9,51.7,31.6,4.7,76,58.1,47.1,72.7,19.2
0,73.6,80,44,47.1,48.7,53.1,40,10.9,73.3,52.2,52.4,65.7,10
0,73,90,62.9,41.4,32.3,56.7,67.6,12.5,69.2,60.4,57.1,51.4,2.9
0,72.7,92.9,42.9,27.8,31.6,71.4,56.5,5.3,83.3,60.5,33.3,62.1,14.3
0,79.9,62.5,33.3,26.1,23.2,60,45.8,4,86.7,54,41.7,68.8,13
0,76.4,66.7,40,31.8,14.6,50,34.8,7.5,66.7,47.2,31.8,56.2,20
1,75.3,62.5,53.2,27.8,35.9,61.8,63.3,4.7,53.8,53.5,31.6,58.6,6.4
0,73.9,87.5,27.9,40,15.4,55.3,56.2,5,45.5,55,42.9,64.1,11.6
0,71.5,57.1,43.2,18.2,26.3,75.7,38.1,2.1,58.8,44.7,53.3,55.2,13.6
0,69.2,85.7,57.1,29.2,31.2,46.2,55.6,13.7,78.9,43.1,33.3,70.4,8.6
0,77.4,61.5,45.3,11.1,23.9,54.1,26.9,13.3,75,42.2,52.6,51.7,1.9
0,65.8,70,44.2,28.6,41,46.9,48.1,3.8,66.7,53.8,58.8,60.5,11.5
0,73.7,88.9,37.5,21.4,21.4,52.8,38.1,0,78.9,50.9,42.9,61.8,8.3
0,73,71.4,42,12.5,34,57.6,39.1,3.8,70.6,53.8,50,52.9,8
0,70.6,66.7,41.9,43.8,38.2,63.2,68,0,73.3,76.2,30.8,55.6,7
0,79.4,70,48,33.3,26.2,64.7,32.3,11.4,72.2,50,41.7,55.6,10
1,84,90.9,46.2,52.2,20,61.5,41.7,5.4,50,51.8,47.1,45.9,3.8
0,75.2,57.1,33.3,43.8,31,57.9,37.5,2.3,85.7,38.6,41.2,62.5,19.6
0,80.7,70.8,35.2,31.2,34.7,84,66.7,0,69.6,53.8,63.6,67.9,11.1
0,68.5,50,47.4,31.6,17.6,60,45.8,11.1,86.7,53.3,35.7,44.8,18.4
0,60.9,64.3,45.2,40,19.4,55.6,69.6,8,72.7,50,35.7,53.3,4.8
0,68.3,100,50,53.8,34.4,51.4,42.4,4.3,71.4,43.5,55,80.6,3.8
0,86.2,83.3,42.4,35.1,11.6,54.5,48.1,3.3,100,66.7,30,67.4,3
0,67.5,87.5,38.5,66.7,25,46.2,57.1,8.3,60,50,28.6,62.5,15.4
0,66.4,81.8,38,25,35.4,56.7,45.8,5.1,80,66.7,25,67.7,2
0,70.5,100,43.2,10.5,26.3,56.8,50,11.9,66.7,38.1,28.6,59.1,8.1
